Phi,theta_crystal,sigma_0,k,trial,converged,convergence_tick,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.0,3.0,0.8,2.0,1,true,83,32,31,34,34,0.0,0.9979012033767733,99,0.8450392543925883,0.99,83
0.0,3.0,0.8,2.0,2,true,98,30,29,49,49,1.0,0.9996226907335113,95,0.8612759995780571,0.95,98
0.0,3.0,0.8,2.0,3,true,111,50,50,62,62,0.0,0.9992890717981234,97,0.7649108593991,0.97,111
0.0,3.0,0.8,2.0,4,true,70,20,19,21,21,0.0,0.9978222672823398,99,0.8476974092623673,0.99,70
0.0,3.0,0.8,2.0,5,true,99,39,39,50,50,1.0,0.9993191095831011,99,0.8346070965083884,0.99,99
0.0,3.0,0.8,2.0,6,true,74,23,23,25,25,0.0,0.9978700927033457,100,0.8474666255652314,1.0,74
0.0,3.0,0.8,2.0,7,true,72,21,21,23,23,1.0,0.9977415633163546,100,0.8485751888030948,1.0,72
0.0,3.0,0.8,2.0,8,true,78,27,27,29,29,0.0,0.9977532812915868,97,0.8498030555784808,0.97,78
0.0,3.0,0.8,2.0,9,true,70,18,19,21,21,1.0,0.9979263585113988,100,0.8474995307402554,1.0,70
0.0,3.0,0.8,2.0,10,true,70,20,20,21,21,0.0,0.9974192855958368,99,0.8474093412332558,0.99,70
0.0,3.0,0.8,2.0,11,true,74,25,25,25,25,0.0,0.9977952651792323,99,0.848225797838148,0.99,74
0.0,3.0,0.8,2.0,12,true,91,30,30,42,42,0.0,0.9991211384953813,99,0.8514924088005079,0.99,91
0.0,3.0,0.8,2.0,13,true,73,24,24,23,24,1.0,0.9976608004365762,99,0.8493183861386755,0.99,73
0.0,3.0,0.8,2.0,14,true,102,36,36,53,53,1.0,0.9994606829418119,96,0.8230848358069996,0.96,102
0.0,3.0,0.8,2.0,15,true,109,54,54,60,60,0.0,0.9983901175440961,100,0.7336968822092166,1.0,109
0.0,3.0,0.8,2.0,16,true,99,37,37,50,50,1.0,0.9992120649079794,95,0.8181247761954251,0.95,99
0.0,3.0,0.8,2.0,17,true,105,46,46,56,56,1.0,0.9988779064337429,98,0.7833616877416684,0.98,105
0.0,3.0,0.8,2.0,18,true,83,30,30,34,34,0.0,0.9982429009341414,96,0.8514894548114142,0.96,83
0.0,3.0,0.8,2.0,19,true,71,19,21,22,22,0.0,0.9975169006407322,99,0.8475059991903224,0.99,71
0.0,3.0,0.8,2.0,20,true,101,33,34,52,52,0.0,0.9995823603669446,96,0.8482323274585286,0.96,101
0.0,1.5,0.8,2.0,1,true,88,28,34,39,39,0.0,0.9987260021486507,100,0.8351194432915336,1.0,88
0.0,1.5,0.8,2.0,2,true,89,27,27,40,40,0.0,0.9989027411607957,100,0.8493055464122456,1.0,89
0.0,1.5,0.8,2.0,3,true,85,25,26,36,36,1.0,0.9991391342961389,100,0.8575215148990029,1.0,85
0.0,1.5,0.8,2.0,4,true,82,21,23,33,33,0.0,0.9990708198053333,100,0.8570252490796119,1.0,82
0.0,1.5,0.8,2.0,5,true,92,36,38,43,43,0.0,0.9983288413496055,100,0.8025400308968612,1.0,92
0.0,1.5,0.8,2.0,6,true,94,42,42,45,45,1.0,0.9982159775142005,100,0.719054226494474,1.0,94
0.0,1.5,0.8,2.0,7,true,80,21,21,31,31,0.0,0.9991546267127757,100,0.8570403866322728,1.0,80
0.0,1.5,0.8,2.0,8,true,84,22,22,35,35,0.0,0.9992489667456006,100,0.8582240121200723,1.0,84
0.0,1.5,0.8,2.0,9,true,109,55,60,57,60,1.0,0.9969935634494944,100,0.7167142917797844,1.0,109
0.0,1.5,0.8,2.0,10,true,103,54,54,54,54,0.0,0.9965954589302121,100,0.7078555283297938,1.0,103
0.0,1.5,0.8,2.0,11,true,100,49,51,49,51,1.0,0.9972657656785935,100,0.6749973599818614,1.0,100
0.0,1.5,0.8,2.0,12,true,90,37,37,41,41,0.0,0.9980627382883847,100,0.8008256086466922,1.0,90
0.0,1.5,0.8,2.0,13,true,87,29,29,38,38,0.0,0.9987746416575756,100,0.8441074518456035,1.0,87
0.0,1.5,0.8,2.0,14,true,87,25,25,38,38,0.0,0.9991012524534988,100,0.8592774876017611,1.0,87
0.0,1.5,0.8,2.0,15,true,83,25,25,34,34,1.0,0.9989281574051599,100,0.8519433157336769,1.0,83
0.0,1.5,0.8,2.0,16,true,84,21,21,35,35,0.0,0.9993556122358686,100,0.8587442283096292,1.0,84
0.0,1.5,0.8,2.0,17,true,93,35,35,44,44,1.0,0.9988336518711377,100,0.7952054935726669,1.0,93
0.0,1.5,0.8,2.0,18,true,88,34,34,39,39,0.0,0.9985737178533087,100,0.8090405974200909,1.0,88
0.0,1.5,0.8,2.0,19,true,68,17,17,14,17,0.0,0.9976837795189563,100,0.8495212909273099,1.0,68
0.0,1.5,0.8,2.0,20,true,98,47,49,46,49,1.0,0.9975892242527737,100,0.6828300847227115,1.0,98
0.0,5.0,0.8,2.0,1,false,0,45,45,0,0,1.0,0.9999999999999999,88,0.9999999198998762,0.88,3000
0.0,5.0,0.8,2.0,2,true,116,48,48,67,67,1.0,0.9995307759930385,93,0.8267215263500544,0.93,116
0.0,5.0,0.8,2.0,3,true,80,22,23,31,31,0.0,0.9986230256001886,98,0.8496460556718584,0.98,80
0.0,5.0,0.8,2.0,4,true,79,25,25,30,30,0.0,0.9986492093620585,98,0.8492268591824229,0.98,79
0.0,5.0,0.8,2.0,5,true,100,38,38,51,51,0.0,0.9992922702746669,95,0.855835987381757,0.95,100
0.0,5.0,0.8,2.0,6,false,0,39,39,0,0,1.0,0.9999999999999999,88,0.9999999272039845,0.88,3000
0.0,5.0,0.8,2.0,7,true,109,42,42,60,60,0.0,0.9995706643558124,94,0.8557323507028884,0.94,109
0.0,5.0,0.8,2.0,8,true,99,38,36,50,50,0.0,0.9993704886507889,95,0.8556861014576213,0.95,99
0.0,5.0,0.8,2.0,9,true,136,54,54,87,87,1.0,0.9999235168626207,90,0.8410928278582681,0.9,136
0.0,5.0,0.8,2.0,10,true,97,33,33,48,48,0.0,0.999398268818957,94,0.8563363011389681,0.94,97
0.0,5.0,0.8,2.0,11,true,83,27,28,34,34,0.0,0.9986756024659209,97,0.850838895164987,0.97,83
0.0,5.0,0.8,2.0,12,true,78,20,22,29,29,0.0,0.9985138193870007,98,0.8495545031187713,0.98,78
0.0,5.0,0.8,2.0,13,true,123,62,62,74,74,0.0,0.9991236729563582,96,0.7981252569033349,0.96,123
0.0,5.0,0.8,2.0,14,false,0,32,32,0,0,0.0,0.9999999999999999,87,0.999999931318597,0.87,3000
0.0,5.0,0.8,2.0,15,true,89,32,36,40,40,0.0,0.9985046084690944,96,0.8513007559344726,0.96,89
0.0,5.0,0.8,2.0,16,true,104,42,42,55,55,1.0,0.9994061815079541,92,0.8579115649410483,0.92,104
0.0,5.0,0.8,2.0,17,true,99,34,39,50,50,1.0,0.9993051364935368,95,0.8552248919138166,0.95,99
0.0,5.0,0.8,2.0,18,true,137,43,43,88,88,0.0,0.9999746582565927,90,0.8660774119561268,0.9,137
0.0,5.0,0.8,2.0,19,true,142,51,51,93,93,1.0,0.9999685142269702,90,0.8485007669452634,0.9,142
0.0,5.0,0.8,2.0,20,true,130,37,38,81,81,1.0,0.999970780718277,90,0.8728854046965588,0.9,130
0.0,3.0,0.5,2.0,1,true,104,47,49,55,55,0.0,0.9984433091223771,98,0.5902674959654989,0.98,104
0.0,3.0,0.5,2.0,2,true,96,37,37,47,47,0.99,0.961133638799546,98,0.6111940666530763,0.98,96
0.0,3.0,0.5,2.0,3,true,100,51,50,48,51,1.0,0.9979258437656361,100,0.6142243038513944,1.0,100
0.0,3.0,0.5,2.0,4,true,111,56,56,62,62,1.0,0.9983428762451048,98,0.5828350500663327,0.98,111
0.0,3.0,0.5,2.0,5,true,91,27,27,23,27,1.0,0.9982695714632547,99,0.6483823553818012,0.99,91
0.0,3.0,0.5,2.0,6,true,118,65,65,65,65,0.0,0.9951803274742892,99,0.569900113827475,0.99,118
0.0,3.0,0.5,2.0,7,true,84,29,33,33,33,1.0,0.9939799670822593,99,0.6269015070983024,0.99,84
0.0,3.0,0.5,2.0,8,true,114,56,56,52,56,1.0,0.9979083929214204,99,0.5811548534303785,0.99,114
0.0,3.0,0.5,2.0,9,true,87,38,38,34,38,1.0,0.9956409838722141,98,0.6310886714375681,0.98,87
0.0,3.0,0.5,2.0,10,true,84,33,33,28,33,0.0,0.9981846057335569,97,0.6366946765387899,0.97,84
0.0,3.0,0.5,2.0,11,true,95,40,40,46,46,1.0,0.9909744288699602,97,0.624864657585464,0.97,95
0.0,3.0,0.5,2.0,12,true,76,27,27,26,27,0.0,0.9966498287374205,97,0.6239332743615383,0.97,76
0.0,3.0,0.5,2.0,13,true,88,39,39,34,39,0.0,0.9977951334228433,97,0.639041312916376,0.97,88
0.0,3.0,0.5,2.0,14,true,83,30,34,29,34,0.0,0.9970780704901995,95,0.6317403777430648,0.95,83
0.0,3.0,0.5,2.0,15,true,100,35,39,51,51,1.0,0.9993122209049461,94,0.651412714779995,0.94,100
0.0,3.0,0.5,2.0,16,true,80,28,28,25,28,0.0,0.9978243405967152,98,0.6321755330418127,0.98,80
0.0,3.0,0.5,2.0,17,true,100,41,43,51,51,0.0,0.9982566590122495,98,0.6168733942886937,0.98,100
0.0,3.0,0.5,2.0,18,true,111,52,52,62,62,1.0,0.998309780422998,96,0.5677228420335806,0.96,111
0.0,3.0,0.5,2.0,19,true,74,25,24,23,25,0.0,0.9976288269180493,97,0.625221217443448,0.97,74
0.0,3.0,0.5,2.0,20,true,101,43,43,51,52,1.0,0.9981947184736556,98,0.6297548541615838,0.98,101
0.0,3.0,1.0,2.0,1,true,82,26,26,33,33,1.0,0.9985957894560394,99,1.0,0.99,82
0.0,3.0,1.0,2.0,2,true,104,33,34,55,55,0.0,0.9996899474276084,95,0.9799123653395049,0.95,104
0.0,3.0,1.0,2.0,3,true,74,22,24,25,25,0.0,0.9976390077338418,99,1.0,0.99,74
0.0,3.0,1.0,2.0,4,true,104,36,36,55,55,0.0,0.9995481672524261,96,0.964436890002395,0.96,104
0.0,3.0,1.0,2.0,5,true,71,20,20,22,22,1.0,0.9973712681510137,99,1.0,0.99,71
0.0,3.0,1.0,2.0,6,true,77,23,24,28,28,0.0,0.9982171223737559,97,1.0,0.97,77
0.0,3.0,1.0,2.0,7,true,94,28,29,45,45,1.0,0.9994354173393273,98,0.9948432958858676,0.98,94
0.0,3.0,1.0,2.0,8,true,107,44,45,58,58,1.0,0.9992820270375765,98,0.939914855467977,0.98,107
0.0,3.0,1.0,2.0,9,true,102,39,39,53,53,0.0,0.999540362258028,97,0.9897352679854993,0.97,102
0.0,3.0,1.0,2.0,10,true,111,39,39,62,62,0.0,0.9997338060490053,91,0.9273823153496898,0.91,111
0.0,3.0,1.0,2.0,11,true,74,22,22,25,25,0.0,0.9980530719553383,96,1.0,0.96,74
0.0,3.0,1.0,2.0,12,true,78,27,27,29,29,0.0,0.99784803203261,96,1.0,0.96,78
0.0,3.0,1.0,2.0,13,true,96,29,30,47,47,0.0,0.9994727556304807,95,0.9947598475079705,0.95,96
0.0,3.0,1.0,2.0,14,true,74,23,23,25,25,0.0,0.9977824074344784,99,1.0,0.99,74
0.0,3.0,1.0,2.0,15,true,79,25,25,30,30,1.0,0.9985331357257422,98,1.0,0.98,79
0.0,3.0,1.0,2.0,16,true,76,23,25,27,27,1.0,0.9978956327969759,96,1.0,0.96,76
0.0,3.0,1.0,2.0,17,true,93,26,27,44,44,1.0,0.9995068532043561,97,1.0,0.97,93
0.0,3.0,1.0,2.0,18,true,107,43,43,58,58,1.0,0.9993791565930159,98,0.9105506799708977,0.98,107
0.0,3.0,1.0,2.0,19,true,80,27,27,31,31,1.0,0.998119816378824,98,1.0,0.98,80
0.0,3.0,1.0,2.0,20,true,73,20,20,24,24,1.0,0.9978801204394745,100,1.0,1.0,73
0.0,3.0,0.8,1.0,1,true,73,21,22,23,24,1.0,0.9973279272234677,99,0.8464493572057932,0.99,73
0.0,3.0,0.8,1.0,2,true,102,45,45,53,53,1.0,0.9989008342945237,98,0.8065770243391829,0.98,102
0.0,3.0,0.8,1.0,3,true,75,23,23,25,26,1.0,0.9975246212443846,97,0.8491636181062473,0.97,75
0.0,3.0,0.8,1.0,4,true,84,32,32,35,35,0.0,0.9979651689377981,99,0.8453841473223217,0.99,84
0.0,3.0,0.8,1.0,5,true,76,25,24,27,27,0.0,0.9977891495852879,99,0.8476637259620239,0.99,76
0.0,3.0,0.8,1.0,6,true,78,27,27,29,29,0.0,0.9973632526557733,100,0.8472762274009379,1.0,78
0.0,3.0,0.8,1.0,7,true,115,63,63,66,66,1.0,0.9982167513562294,100,0.7332413373727746,1.0,115
0.0,3.0,0.8,1.0,8,true,74,21,22,25,25,0.0,0.997776266816579,100,0.8482274118811077,1.0,74
0.0,3.0,0.8,1.0,9,true,77,26,26,28,28,1.0,0.9977627540471303,99,0.847692854316335,0.99,77
0.0,3.0,0.8,1.0,10,true,71,21,21,22,22,1.0,0.9973683975711332,99,0.8471214944410549,0.99,71
0.0,3.0,0.8,1.0,11,true,101,40,40,52,52,0.0,0.9991675898383328,99,0.8246823603546095,0.99,101
0.0,3.0,0.8,1.0,12,true,95,32,32,46,46,0.0,0.9994382179956051,97,0.8591175239824875,0.97,95
0.0,3.0,0.8,1.0,13,true,76,22,23,27,27,0.0,0.9976057443641649,98,0.8490189401798424,0.98,76
0.0,3.0,0.8,1.0,14,true,76,22,25,27,27,1.0,0.998140931727771,98,0.8486341532010723,0.98,76
0.0,3.0,0.8,1.0,15,true,99,33,33,50,50,0.0,0.9994281902775702,99,0.8472950864127312,0.99,99
0.0,3.0,0.8,1.0,16,true,82,29,29,33,33,0.0,0.9976201085230033,98,0.8514746094549575,0.98,82
0.0,3.0,0.8,1.0,17,true,123,72,72,74,74,0.0,0.9978474057351563,97,0.780747664531791,0.97,123
0.0,3.0,0.8,1.0,18,true,74,24,24,25,25,1.0,0.9975301046870461,98,0.8484307996633096,0.98,74
0.0,3.0,0.8,1.0,19,true,99,33,35,50,50,1.0,0.9994862208190116,94,0.8560179117086473,0.94,99
0.0,3.0,0.8,1.0,20,true,96,31,31,47,47,0.0,0.999417486884912,97,0.8552944789497955,0.97,96
0.0,3.0,0.8,4.0,1,true,82,31,33,33,33,0.0,0.9968575928449593,99,0.8494141038328256,0.99,82
0.0,3.0,0.8,4.0,2,true,105,39,39,56,56,0.0,0.999380729512839,96,0.8230401602020513,0.96,105
0.0,3.0,0.8,4.0,3,true,114,61,61,65,65,0.0,0.998166628214759,98,0.7307761690130243,0.98,114
0.0,3.0,0.8,4.0,4,true,81,27,28,32,32,1.0,0.997993647402891,98,0.8502831687094499,0.98,81
0.0,3.0,0.8,4.0,5,true,73,24,24,24,24,1.0,0.997240182719617,98,0.8481220302088551,0.98,73
0.0,3.0,0.8,4.0,6,true,98,41,41,49,49,1.0,0.9988709166506652,94,0.8220364186594694,0.94,98
0.0,3.0,0.8,4.0,7,true,95,31,32,46,46,1.0,0.9993232763639164,94,0.8467854732906663,0.94,95
0.0,3.0,0.8,4.0,8,true,86,33,33,31,33,0.0,0.9978209754715021,95,0.8538505677252334,0.95,86
0.0,3.0,0.8,4.0,9,true,86,34,34,37,37,1.0,0.9975490147254686,95,0.8427113403598856,0.95,86
0.0,3.0,0.8,4.0,10,true,99,36,35,50,50,1.0,0.999408066392962,95,0.8526275006036935,0.95,99
0.0,3.0,0.8,4.0,11,true,93,38,38,44,44,0.0,0.9975378369101479,97,0.8424775771373513,0.97,93
0.0,3.0,0.8,4.0,12,true,76,27,27,26,27,1.0,0.9967286050302693,96,0.8497413431930241,0.96,76
0.0,3.0,0.8,4.0,13,true,71,22,22,20,22,1.0,0.9975967286125045,100,0.8479631961856664,1.0,71
0.0,3.0,0.8,4.0,14,true,90,37,37,41,41,1.0,0.9982736539102147,98,0.8361409829134944,0.98,90
0.0,3.0,0.8,4.0,15,true,80,31,31,31,31,0.0,0.9955496974876341,97,0.8500420824964046,0.97,80
0.0,3.0,0.8,4.0,16,true,95,32,32,46,46,0.0,0.9990374361658053,95,0.8508513561669466,0.95,95
0.0,3.0,0.8,4.0,17,true,82,29,30,33,33,0.0,0.9979521430332666,95,0.8527947787554403,0.95,82
0.0,3.0,0.8,4.0,18,true,84,30,29,35,35,1.0,0.9983634495444114,96,0.8529342983288725,0.96,84
0.0,3.0,0.8,4.0,19,true,106,50,50,57,57,0.0,0.9983976263738419,98,0.7664597041366653,0.98,106
0.0,3.0,0.8,4.0,20,true,80,29,29,31,31,0.0,0.997625949349262,93,0.8464344463877759,0.93,80
0.0,1.5,1.0,4.0,1,true,83,22,22,34,34,1.0,0.9991156234877462,100,1.0,1.0,83
0.0,1.5,1.0,4.0,2,true,90,27,27,41,41,1.0,0.999174325783138,100,0.969546095574527,1.0,90
0.0,1.5,1.0,4.0,3,true,83,20,20,34,34,1.0,0.9993283898976205,100,1.0,1.0,83
0.0,1.5,1.0,4.0,4,true,95,38,38,46,46,0.0,0.998891536077559,100,0.8948506085454568,1.0,95
0.0,1.5,1.0,4.0,5,true,83,22,22,34,34,1.0,0.9992205401951654,100,1.0,1.0,83
0.0,1.5,1.0,4.0,6,true,100,50,50,51,51,1.0,0.9973699975641136,100,0.7990634299335692,1.0,100
0.0,1.5,1.0,4.0,7,true,86,23,23,37,37,0.0,0.9993493294919549,100,1.0,1.0,86
0.0,1.5,1.0,4.0,8,true,90,30,30,41,41,1.0,0.9990596071049528,100,0.9798357476732441,1.0,90
0.0,1.5,1.0,4.0,9,true,104,54,55,52,55,0.0,0.9973539485120021,100,0.7592156734602326,1.0,104
0.0,1.5,1.0,4.0,10,true,81,20,20,32,32,0.0,0.9991702027098005,100,1.0,1.0,81
0.0,1.5,1.0,4.0,11,true,89,29,30,40,40,1.0,0.9989176786143292,100,0.9637454104985,1.0,89
0.0,1.5,1.0,4.0,12,true,81,20,20,32,32,0.0,0.9992729458345119,100,1.0,1.0,81
0.0,1.5,1.0,4.0,13,true,92,33,33,43,43,0.0,0.9989340227343015,100,0.9194851381815412,1.0,92
0.0,1.5,1.0,4.0,14,true,91,34,34,42,42,1.0,0.998797211876191,100,0.9279465098213994,1.0,91
0.0,1.5,1.0,4.0,15,true,94,38,38,45,45,0.0,0.9985414757740517,100,0.8582007397648365,1.0,94
0.0,1.5,1.0,4.0,16,true,92,33,33,43,43,0.0,0.999018183445323,100,0.9489328660543218,1.0,92
0.0,1.5,1.0,4.0,17,true,84,21,22,35,35,1.0,0.999266147115402,100,1.0,1.0,84
0.0,1.5,1.0,4.0,18,true,82,19,20,33,33,1.0,0.9993146168986056,100,1.0,1.0,82
0.0,1.5,1.0,4.0,19,true,94,35,37,45,45,1.0,0.9985601109654095,100,0.8482700399192279,1.0,94
0.0,1.5,1.0,4.0,20,true,90,29,29,41,41,0.0,0.99920467611135,100,0.9747040782836297,1.0,90
0.0,5.0,0.5,1.0,1,false,0,51,53,0,0,0.0,0.9999999999999999,89,0.9999997998912974,0.89,3000
0.0,5.0,0.5,1.0,2,true,89,33,33,40,40,0.0,0.9987166143081793,99,0.6290458829048838,0.99,89
0.0,5.0,0.5,1.0,3,true,81,26,26,32,32,1.0,0.9984437721004612,99,0.6227279263903488,0.99,81
0.0,5.0,0.5,1.0,4,true,92,31,32,43,43,1.0,0.9987604306082531,93,0.6307703978590513,0.93,92
0.0,5.0,0.5,1.0,5,true,88,34,33,39,39,1.0,0.9984738865303009,98,0.6262679475026889,0.98,88
0.0,5.0,0.5,1.0,6,true,127,49,52,78,78,0.0,0.9998477487736835,90,0.6503153123876756,0.9,127
0.0,5.0,0.5,1.0,7,true,98,38,38,49,49,0.0,0.9991190301486342,94,0.639115521144493,0.94,98
0.0,5.0,0.5,1.0,8,true,92,30,30,43,43,1.0,0.9991862909420469,94,0.6396950080436723,0.94,92
0.0,5.0,0.5,1.0,9,true,83,29,29,34,34,0.0,0.998495182459456,97,0.6244185931762222,0.97,83
0.0,5.0,0.5,1.0,10,true,89,35,35,40,40,1.0,0.9984166317073566,97,0.6243040875354297,0.97,89
0.0,5.0,0.5,1.0,11,true,100,42,42,51,51,1.0,0.9990109900800013,94,0.6322398801567717,0.94,100
0.0,5.0,0.5,1.0,12,true,84,27,27,35,35,1.0,0.9989434892422717,97,0.6275262742246056,0.97,84
0.0,5.0,0.5,1.0,13,true,87,31,32,38,38,1.0,0.9985364314823464,97,0.6281461936286791,0.97,87
0.0,5.0,0.5,1.0,14,true,121,51,51,72,72,1.0,0.9996763292369677,92,0.6435851528200757,0.92,121
0.0,5.0,0.5,1.0,15,false,0,51,51,0,0,0.0,0.9999999999999999,89,0.9999998047139239,0.89,3000
0.0,5.0,0.5,1.0,16,true,84,28,28,35,35,0.0,0.9986212464844796,97,0.6267793457902455,0.97,84
0.0,5.0,0.5,1.0,17,true,82,28,28,33,33,1.0,0.9985222022716016,99,0.623701774537379,0.99,82
0.0,5.0,0.5,1.0,18,true,88,34,34,39,39,0.0,0.9985071084095004,95,0.6304045082833554,0.95,88
