label,Phi,theta_crystal,sigma_0,k,tick,fraction_A,coordination_rate,n_uncr,n_cryst_A,n_cryst_B,new_cryst_A,new_cryst_B,dissolutions,bexp_all,beff_all,C_all,sigma_crA,sigma_crB,anom_crA,anom_crB,e_uncr_mean,e_uncr_abs_mean,num_enforcements,convergence_counter
easy_fast,0.0,1.5,1.0,4.0,35,0.0,1.0,17,11,72,0,2,3,0.0058,0.0045,0.6862,0.3013,0.9162,7.64,3.96,-0.622,0.622,0,0
easy_fast,0.0,1.5,1.0,4.0,36,0.0,1.0,18,8,74,0,2,3,0.0025,0.0042,0.7176,0.3009,0.9189,8.12,3.85,-0.686,0.686,0,0
easy_fast,0.0,1.5,1.0,4.0,37,0.0,1.0,21,5,74,0,0,3,0.0,0.0031,0.7458,0.3007,0.9193,8.6,3.85,-0.837,0.837,0,0
easy_fast,0.0,1.5,1.0,4.0,38,0.0,1.0,19,2,79,0,5,3,0.0,0.0004,0.7713,0.3017,0.9248,9.0,3.61,-0.801,0.801,0,0
easy_fast,0.0,1.5,1.0,4.0,39,0.0,1.0,15,0,85,0,6,2,0.0,0.0002,0.7941,NaN,0.9304,NaN,3.35,-0.71,0.71,0,0
easy_fast,0.0,1.5,1.0,4.0,40,0.0,1.0,14,0,86,0,1,0,0.0,0.0,0.8147,NaN,0.9316,NaN,3.31,-0.93,0.93,0,0
easy_fast,0.0,1.5,1.0,4.0,41,0.0,1.0,10,0,90,0,4,0,0.0,0.0,0.8332,NaN,0.935,NaN,3.17,-0.997,0.997,0,1
easy_fast,0.0,1.5,1.0,4.0,42,0.0,1.0,8,0,92,0,2,0,0.0,0.0,0.8499,NaN,0.9367,NaN,3.1,-1.134,1.134,0,2
easy_fast,0.0,1.5,1.0,4.0,43,0.0,1.0,6,0,94,0,2,0,0.0,0.0,0.8649,NaN,0.9383,NaN,3.03,-1.277,1.277,0,3
easy_fast,0.0,1.5,1.0,4.0,44,0.0,1.0,4,0,96,0,2,0,0.0,0.0,0.8784,NaN,0.9399,NaN,2.97,-1.403,1.403,0,4
easy_fast,0.0,1.5,1.0,4.0,45,0.0,1.0,1,0,99,0,3,0,0.0,0.0,0.8906,NaN,0.942,NaN,2.88,-1.441,1.441,0,5
easy_fast,0.0,1.5,1.0,4.0,46,0.0,1.0,0,0,100,0,1,0,0.0,0.0,0.9015,NaN,0.9429,NaN,2.85,NaN,NaN,0,6
easy_fast,0.0,1.5,1.0,4.0,47,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9114,NaN,0.9432,NaN,2.85,NaN,NaN,0,7
easy_fast,0.0,1.5,1.0,4.0,48,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9202,NaN,0.9435,NaN,2.85,NaN,NaN,0,8
easy_fast,0.0,1.5,1.0,4.0,49,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9282,NaN,0.9438,NaN,2.85,NaN,NaN,0,9
easy_fast,0.0,1.5,1.0,4.0,50,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9354,NaN,0.944,NaN,2.85,NaN,NaN,0,10
easy_fast,0.0,1.5,1.0,4.0,51,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9419,NaN,0.9443,NaN,2.85,NaN,NaN,0,11
easy_fast,0.0,1.5,1.0,4.0,52,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9477,NaN,0.9446,NaN,2.85,NaN,NaN,0,12
easy_fast,0.0,1.5,1.0,4.0,53,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9529,NaN,0.9449,NaN,2.85,NaN,NaN,0,13
easy_fast,0.0,1.5,1.0,4.0,54,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9576,NaN,0.9452,NaN,2.85,NaN,NaN,0,14
easy_fast,0.0,1.5,1.0,4.0,55,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9619,NaN,0.9454,NaN,2.85,NaN,NaN,0,15
easy_fast,0.0,1.5,1.0,4.0,56,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9657,NaN,0.9457,NaN,2.85,NaN,NaN,0,16
easy_fast,0.0,1.5,1.0,4.0,57,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9691,NaN,0.946,NaN,2.85,NaN,NaN,0,17
easy_fast,0.0,1.5,1.0,4.0,58,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9722,NaN,0.9462,NaN,2.85,NaN,NaN,0,18
easy_fast,0.0,1.5,1.0,4.0,59,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.975,NaN,0.9465,NaN,2.85,NaN,NaN,0,19
easy_fast,0.0,1.5,1.0,4.0,60,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9775,NaN,0.9468,NaN,2.85,NaN,NaN,0,20
easy_fast,0.0,1.5,1.0,4.0,61,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9797,NaN,0.947,NaN,2.85,NaN,NaN,0,21
easy_fast,0.0,1.5,1.0,4.0,62,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9818,NaN,0.9473,NaN,2.85,NaN,NaN,0,22
easy_fast,0.0,1.5,1.0,4.0,63,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9836,NaN,0.9476,NaN,2.85,NaN,NaN,0,23
easy_fast,0.0,1.5,1.0,4.0,64,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9852,NaN,0.9478,NaN,2.85,NaN,NaN,0,24
easy_fast,0.0,1.5,1.0,4.0,65,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9867,NaN,0.9481,NaN,2.85,NaN,NaN,0,25
easy_fast,0.0,1.5,1.0,4.0,66,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.988,NaN,0.9484,NaN,2.85,NaN,NaN,0,26
easy_fast,0.0,1.5,1.0,4.0,67,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9892,NaN,0.9486,NaN,2.85,NaN,NaN,0,27
easy_fast,0.0,1.5,1.0,4.0,68,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9903,NaN,0.9489,NaN,2.85,NaN,NaN,0,28
easy_fast,0.0,1.5,1.0,4.0,69,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9913,NaN,0.9491,NaN,2.85,NaN,NaN,0,29
easy_fast,0.0,1.5,1.0,4.0,70,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9921,NaN,0.9494,NaN,2.85,NaN,NaN,0,30
easy_fast,0.0,1.5,1.0,4.0,71,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9929,NaN,0.9496,NaN,2.85,NaN,NaN,0,31
easy_fast,0.0,1.5,1.0,4.0,72,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9936,NaN,0.9499,NaN,2.85,NaN,NaN,0,32
easy_fast,0.0,1.5,1.0,4.0,73,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9943,NaN,0.9501,NaN,2.85,NaN,NaN,0,33
easy_fast,0.0,1.5,1.0,4.0,74,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9948,NaN,0.9504,NaN,2.85,NaN,NaN,0,34
easy_fast,0.0,1.5,1.0,4.0,75,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9954,NaN,0.9506,NaN,2.85,NaN,NaN,0,35
easy_fast,0.0,1.5,1.0,4.0,76,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9958,NaN,0.9509,NaN,2.85,NaN,NaN,0,36
easy_fast,0.0,1.5,1.0,4.0,77,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9962,NaN,0.9511,NaN,2.85,NaN,NaN,0,37
easy_fast,0.0,1.5,1.0,4.0,78,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9966,NaN,0.9514,NaN,2.85,NaN,NaN,0,38
easy_fast,0.0,1.5,1.0,4.0,79,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.997,NaN,0.9516,NaN,2.85,NaN,NaN,0,39
easy_fast,0.0,1.5,1.0,4.0,80,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9973,NaN,0.9519,NaN,2.85,NaN,NaN,0,40
easy_fast,0.0,1.5,1.0,4.0,81,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9975,NaN,0.9521,NaN,2.85,NaN,NaN,0,41
easy_fast,0.0,1.5,1.0,4.0,82,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9978,NaN,0.9523,NaN,2.85,NaN,NaN,0,42
easy_fast,0.0,1.5,1.0,4.0,83,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.998,NaN,0.9526,NaN,2.85,NaN,NaN,0,43
easy_fast,0.0,1.5,1.0,4.0,84,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9982,NaN,0.9528,NaN,2.85,NaN,NaN,0,44
easy_fast,0.0,1.5,1.0,4.0,85,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9984,NaN,0.953,NaN,2.85,NaN,NaN,0,45
easy_fast,0.0,1.5,1.0,4.0,86,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9985,NaN,0.9533,NaN,2.85,NaN,NaN,0,46
easy_fast,0.0,1.5,1.0,4.0,87,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9987,NaN,0.9535,NaN,2.85,NaN,NaN,0,47
easy_fast,0.0,1.5,1.0,4.0,88,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9988,NaN,0.9537,NaN,2.85,NaN,NaN,0,48
easy_fast,0.0,1.5,1.0,4.0,89,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9989,NaN,0.954,NaN,2.85,NaN,NaN,0,49
easy_fast,0.0,1.5,1.0,4.0,90,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.999,NaN,0.9542,NaN,2.85,NaN,NaN,0,50
hard_slow,0.0,5.0,0.5,1.0,1,0.49,0.58,100,0,0,0,0,0,0.49,0.5,0.458,NaN,NaN,NaN,NaN,0.011,0.542,0,0
hard_slow,0.0,5.0,0.5,1.0,2,0.49,0.38,100,0,0,0,0,0,0.49,0.49,0.3916,NaN,NaN,NaN,NaN,0.01,0.736,0,0
hard_slow,0.0,5.0,0.5,1.0,3,0.48,0.44,100,0,0,0,0,0,0.4733,0.49,0.3701,NaN,NaN,NaN,NaN,-0.004,0.76,0,0
hard_slow,0.0,5.0,0.5,1.0,4,0.41,0.5,100,0,0,0,0,0,0.4508,0.4733,0.3397,NaN,NaN,NaN,NaN,-0.065,0.862,0,0
hard_slow,0.0,5.0,0.5,1.0,5,0.52,0.44,100,0,0,0,0,0,0.4525,0.4508,0.3138,NaN,NaN,NaN,NaN,-0.129,0.99,0,0
hard_slow,0.0,5.0,0.5,1.0,6,0.44,0.56,100,0,0,0,0,0,0.4767,0.4525,0.3019,NaN,NaN,NaN,NaN,-0.148,1.073,0,0
hard_slow,0.0,5.0,0.5,1.0,7,0.55,0.54,100,0,0,0,0,0,0.4792,0.4767,0.2899,NaN,NaN,NaN,NaN,-0.18,1.181,0,0
hard_slow,0.0,5.0,0.5,1.0,8,0.53,0.42,100,0,0,0,0,0,0.5108,0.4792,0.2734,NaN,NaN,NaN,NaN,-0.157,1.312,0,0
hard_slow,0.0,5.0,0.5,1.0,9,0.6,0.56,100,0,0,0,0,0,0.565,0.5108,0.2637,NaN,NaN,NaN,NaN,-0.067,1.425,0,0
hard_slow,0.0,5.0,0.5,1.0,10,0.57,0.54,100,0,0,0,0,0,0.57,0.565,0.2686,NaN,NaN,NaN,NaN,0.025,1.562,0,0
hard_slow,0.0,5.0,0.5,1.0,11,0.53,0.5,100,0,0,0,0,0,0.5642,0.57,0.2643,NaN,NaN,NaN,NaN,0.105,1.616,0,0
hard_slow,0.0,5.0,0.5,1.0,12,0.52,0.52,100,0,0,0,0,0,0.5333,0.5642,0.2572,NaN,NaN,NaN,NaN,0.135,1.678,0,0
hard_slow,0.0,5.0,0.5,1.0,13,0.55,0.54,99,1,0,1,0,0,0.535,0.5333,0.2626,0.5,NaN,0.0,NaN,0.118,1.784,0,0
hard_slow,0.0,5.0,0.5,1.0,14,0.57,0.58,98,1,1,0,1,0,0.5542,0.5367,0.2709,0.5025,0.5,0.0,0.0,0.23,1.862,0,0
hard_slow,0.0,5.0,0.5,1.0,15,0.48,0.4,93,5,2,4,1,0,0.5417,0.5558,0.2614,0.501,0.5,0.0,0.5,0.134,1.782,0,0
hard_slow,0.0,5.0,0.5,1.0,16,0.54,0.44,92,6,2,1,0,0,0.5158,0.5467,0.2622,0.5025,0.5,0.17,1.5,0.067,1.794,0,0
hard_slow,0.0,5.0,0.5,1.0,17,0.51,0.5,92,6,2,0,0,0,0.51,0.5188,0.2561,0.5033,0.5025,0.83,1.5,0.047,1.803,0,0
hard_slow,0.0,5.0,0.5,1.0,18,0.59,0.34,91,7,2,1,0,0,0.5642,0.5167,0.2456,0.5036,0.5025,1.29,2.5,0.065,1.795,0,0
hard_slow,0.0,5.0,0.5,1.0,19,0.62,0.52,89,8,3,1,1,0,0.5933,0.5722,0.2593,0.505,0.5025,1.25,2.0,0.183,1.817,0,0
hard_slow,0.0,5.0,0.5,1.0,20,0.59,0.62,88,9,3,1,0,0,0.6108,0.6009,0.276,0.5058,0.5033,1.44,2.67,0.265,1.91,0,0
hard_slow,0.0,5.0,0.5,1.0,21,0.65,0.5,87,10,3,1,0,0,0.6292,0.6185,0.2813,0.5072,0.505,1.4,3.0,0.363,1.899,0,0
hard_slow,0.0,5.0,0.5,1.0,22,0.61,0.46,84,13,3,3,0,0,0.6325,0.6352,0.2717,0.5065,0.5058,1.46,3.67,0.36,1.767,0,0
hard_slow,0.0,5.0,0.5,1.0,23,0.62,0.48,84,13,3,0,0,0,0.6375,0.6431,0.2632,0.5078,0.5075,1.92,4.0,0.532,1.773,0,0
hard_slow,0.0,5.0,0.5,1.0,24,0.57,0.46,84,13,3,0,0,0,0.6183,0.6494,0.2672,0.509,0.5083,2.46,4.67,0.704,1.857,0,0
hard_slow,0.0,5.0,0.5,1.0,25,0.61,0.54,80,17,3,4,0,0,0.6008,0.6391,0.2724,0.508,0.5099,2.18,5.0,0.608,1.826,0,0
hard_slow,0.0,5.0,0.5,1.0,26,0.59,0.5,75,20,5,3,2,0,0.61,0.6191,0.2745,0.5078,0.506,2.3,3.6,0.727,1.692,0,0
hard_slow,0.0,5.0,0.5,1.0,27,0.59,0.54,73,21,6,1,1,0,0.5842,0.6378,0.2821,0.5088,0.5062,2.57,3.33,0.871,1.679,0,0
hard_slow,0.0,5.0,0.5,1.0,28,0.59,0.5,72,22,6,1,0,0,0.59,0.6178,0.2874,0.5097,0.5083,2.86,3.5,0.943,1.738,0,0
hard_slow,0.0,5.0,0.5,1.0,29,0.68,0.56,72,22,6,0,0,0,0.64,0.6234,0.3008,0.5114,0.5095,3.18,4.0,1.145,1.857,0,0
hard_slow,0.0,5.0,0.5,1.0,30,0.76,0.64,71,23,6,1,0,0,0.6933,0.6677,0.3116,0.5125,0.3905,3.35,1.33,1.369,2.032,0,0
hard_slow,0.0,5.0,0.5,1.0,31,0.68,0.56,70,24,6,1,0,0,0.7175,0.7212,0.3158,0.5135,0.3909,3.54,2.17,1.587,2.163,0,0
hard_slow,0.0,5.0,0.5,1.0,32,0.7,0.64,69,25,6,1,0,0,0.6975,0.7394,0.3207,0.5146,0.392,3.68,2.83,1.752,2.217,0,0
hard_slow,0.0,5.0,0.5,1.0,33,0.7,0.52,64,30,6,5,0,0,0.71,0.7201,0.3336,0.5137,0.3942,3.3,3.17,1.743,2.133,0,0
hard_slow,0.0,5.0,0.5,1.0,34,0.72,0.72,63,31,6,1,0,0,0.7258,0.7301,0.3481,0.5153,0.3949,3.32,4.0,1.898,2.272,0,0
hard_slow,0.0,5.0,0.5,1.0,35,0.75,0.62,60,34,6,3,0,0,0.725,0.7348,0.3536,0.5157,0.336,3.21,3.0,1.938,2.343,0,0
hard_slow,0.0,5.0,0.5,1.0,36,0.73,0.62,58,36,6,2,0,0,0.7597,0.741,0.3605,0.5165,0.3364,3.28,3.83,2.09,2.449,0,0
hard_slow,0.0,5.0,0.5,1.0,37,0.8,0.68,56,38,6,2,0,0,0.7722,0.7777,0.3663,0.5174,0.3364,3.32,4.83,2.262,2.557,0,0
hard_slow,0.0,5.0,0.5,1.0,38,0.81,0.66,53,41,6,3,0,0,0.8097,0.7942,0.3766,0.4997,0.3378,2.88,5.5,2.586,2.792,0,0
hard_slow,0.0,5.0,0.5,1.0,39,0.88,0.76,45,49,6,8,0,0,0.8518,0.8427,0.4067,0.4938,0.2793,2.37,4.67,2.704,2.811,0,0
hard_slow,0.0,5.0,0.5,1.0,40,0.86,0.8,43,51,6,2,0,0,0.8575,0.8799,0.4344,0.4961,0.2793,2.43,5.67,3.012,3.064,0,0
hard_slow,0.0,5.0,0.5,1.0,41,0.88,0.8,39,55,6,4,0,0,0.8705,0.8841,0.4622,0.4983,0.2797,2.4,6.5,3.228,3.259,0,0
hard_slow,0.0,5.0,0.5,1.0,42,0.91,0.82,34,60,6,5,0,0,0.8885,0.8981,0.4922,0.5005,0.221,2.28,5.5,3.434,3.457,0,0
hard_slow,0.0,5.0,0.5,1.0,43,0.94,0.92,29,66,5,6,0,1,0.9133,0.916,0.5291,0.4969,0.1607,1.97,3.6,3.441,3.454,0,0
hard_slow,0.0,5.0,0.5,1.0,44,0.95,0.94,23,73,4,7,0,1,0.9275,0.9328,0.5716,0.4993,0.1602,1.81,2.75,3.25,3.251,0,0
hard_slow,0.0,5.0,0.5,1.0,45,0.95,0.9,21,75,4,2,0,0,0.9452,0.942,0.5971,0.5016,0.1602,1.83,3.75,3.459,3.459,0,0
hard_slow,0.0,5.0,0.5,1.0,46,0.97,0.94,15,81,4,6,0,0,0.97,0.9552,0.6277,0.5037,0.1602,1.72,4.75,3.271,3.271,0,0
hard_slow,0.0,5.0,0.5,1.0,47,0.97,0.94,13,83,4,2,0,0,0.968,0.9755,0.6576,0.506,0.1602,1.71,5.75,3.313,3.313,0,0
hard_slow,0.0,5.0,0.5,1.0,48,0.95,0.9,14,83,3,0,0,1,0.9582,0.9754,0.6801,0.5084,0.1579,1.75,5.67,3.318,3.318,0,0
hard_slow,0.0,5.0,0.5,1.0,49,0.94,0.88,12,85,3,2,0,0,0.964,0.97,0.6972,0.5104,0.1579,1.78,6.67,3.363,3.363,0,0
hard_slow,0.0,5.0,0.5,1.0,50,0.96,0.92,10,87,3,2,0,0,0.955,0.9755,0.718,0.5125,0.1579,1.76,7.67,3.311,3.311,0,0
hard_slow,0.0,5.0,0.5,1.0,51,0.97,0.94,10,87,3,0,0,0,0.9555,0.9713,0.7386,0.5149,0.1579,1.79,8.67,3.545,3.545,0,0
hard_slow,0.0,5.0,0.5,1.0,52,0.99,0.98,12,87,1,0,0,2,0.9667,0.9717,0.7624,0.5173,0.1544,1.8,9.0,3.143,3.143,0,0
hard_slow,0.0,5.0,0.5,1.0,53,0.98,0.96,12,88,0,1,0,1,0.9752,0.9815,0.7809,0.5194,NaN,1.81,NaN,2.951,2.951,0,0
hard_slow,0.0,5.0,0.5,1.0,54,1.0,1.0,12,88,0,0,0,0,0.985,0.9882,0.8028,0.5218,NaN,1.81,NaN,3.168,3.168,0,0
hard_slow,0.0,5.0,0.5,1.0,55,0.99,0.98,11,89,0,1,0,0,0.9905,0.993,0.8199,0.5239,NaN,1.8,NaN,3.21,3.21,0,0
hard_slow,0.0,5.0,0.5,1.0,56,1.0,1.0,10,90,0,1,0,0,0.9925,0.9955,0.8379,0.526,NaN,1.78,NaN,3.229,3.229,0,1
hard_slow,0.0,5.0,0.5,1.0,57,0.99,0.98,9,91,0,1,0,0,0.9955,0.9965,0.8513,0.528,NaN,1.77,NaN,3.225,3.225,0,2
hard_slow,0.0,5.0,0.5,1.0,58,0.99,0.98,9,91,0,0,0,0,0.9925,0.9979,0.8639,0.5303,NaN,1.78,NaN,3.392,3.392,0,3
hard_slow,0.0,5.0,0.5,1.0,59,1.0,1.0,9,91,0,0,0,0,0.9942,0.9964,0.8775,0.5327,NaN,1.78,NaN,3.542,3.542,0,4
hard_slow,0.0,5.0,0.5,1.0,60,1.0,1.0,9,91,0,0,0,0,0.995,0.9972,0.8898,0.535,NaN,1.78,NaN,3.677,3.677,0,5
hard_slow,0.0,5.0,0.5,1.0,61,1.0,1.0,7,93,0,2,0,0,0.9975,0.9976,0.9008,0.5366,NaN,1.74,NaN,3.442,3.442,0,6
hard_slow,0.0,5.0,0.5,1.0,62,1.0,1.0,6,94,0,1,0,0,1.0,0.9988,0.9107,0.5385,NaN,1.72,NaN,3.296,3.296,0,7
hard_slow,0.0,5.0,0.5,1.0,63,1.0,1.0,6,94,0,0,0,0,1.0,1.0,0.9197,0.5408,NaN,1.72,NaN,3.394,3.394,0,8
hard_slow,0.0,5.0,0.5,1.0,64,1.0,1.0,6,94,0,0,0,0,1.0,1.0,0.9277,0.5431,NaN,1.72,NaN,3.483,3.483,0,9
hard_slow,0.0,5.0,0.5,1.0,65,1.0,1.0,5,95,0,1,0,0,1.0,1.0,0.9349,0.5449,NaN,1.71,NaN,3.269,3.269,0,10
hard_slow,0.0,5.0,0.5,1.0,66,1.0,1.0,5,95,0,0,0,0,1.0,1.0,0.9414,0.5471,NaN,1.71,NaN,3.34,3.34,0,11
hard_slow,0.0,5.0,0.5,1.0,67,1.0,1.0,5,95,0,0,0,0,1.0,1.0,0.9473,0.5494,NaN,1.71,NaN,3.403,3.403,0,12
hard_slow,0.0,5.0,0.5,1.0,68,1.0,1.0,5,95,0,0,0,0,1.0,1.0,0.9526,0.5517,NaN,1.71,NaN,3.46,3.46,0,13
hard_slow,0.0,5.0,0.5,1.0,69,1.0,1.0,5,95,0,0,0,0,1.0,1.0,0.9573,0.5539,NaN,1.71,NaN,3.512,3.512,0,14
hard_slow,0.0,5.0,0.5,1.0,70,1.0,1.0,5,95,0,0,0,0,1.0,1.0,0.9616,0.5561,NaN,1.71,NaN,3.558,3.558,0,15
hard_slow,0.0,5.0,0.5,1.0,71,1.0,1.0,5,95,0,0,0,0,1.0,1.0,0.9654,0.5584,NaN,1.71,NaN,3.6,3.6,0,16
hard_slow,0.0,5.0,0.5,1.0,72,1.0,1.0,5,95,0,0,0,0,1.0,1.0,0.9689,0.5606,NaN,1.71,NaN,3.637,3.637,0,17
hard_slow,0.0,5.0,0.5,1.0,73,1.0,1.0,4,96,0,1,0,0,1.0,1.0,0.972,0.5621,NaN,1.69,NaN,3.331,3.331,0,18
hard_slow,0.0,5.0,0.5,1.0,74,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9748,0.5643,NaN,1.69,NaN,3.361,3.361,0,19
hard_slow,0.0,5.0,0.5,1.0,75,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9773,0.5665,NaN,1.69,NaN,3.388,3.388,0,20
hard_slow,0.0,5.0,0.5,1.0,76,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9796,0.5686,NaN,1.69,NaN,3.413,3.413,0,21
hard_slow,0.0,5.0,0.5,1.0,77,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9816,0.5708,NaN,1.69,NaN,3.435,3.435,0,22
hard_slow,0.0,5.0,0.5,1.0,78,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9835,0.5729,NaN,1.69,NaN,3.454,3.454,0,23
hard_slow,0.0,5.0,0.5,1.0,79,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9851,0.5751,NaN,1.69,NaN,3.472,3.472,0,24
hard_slow,0.0,5.0,0.5,1.0,80,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9866,0.5772,NaN,1.69,NaN,3.488,3.488,0,25
hard_slow,0.0,5.0,0.5,1.0,81,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9879,0.5793,NaN,1.69,NaN,3.502,3.502,0,26
hard_slow,0.0,5.0,0.5,1.0,82,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9891,0.5814,NaN,1.69,NaN,3.515,3.515,0,27
hard_slow,0.0,5.0,0.5,1.0,83,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9902,0.5835,NaN,1.69,NaN,3.527,3.527,0,28
hard_slow,0.0,5.0,0.5,1.0,84,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9912,0.5856,NaN,1.69,NaN,3.537,3.537,0,29
hard_slow,0.0,5.0,0.5,1.0,85,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9921,0.5877,NaN,1.69,NaN,3.547,3.547,0,30
hard_slow,0.0,5.0,0.5,1.0,86,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9929,0.5897,NaN,1.69,NaN,3.555,3.555,0,31
hard_slow,0.0,5.0,0.5,1.0,87,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9936,0.5918,NaN,1.69,NaN,3.563,3.563,0,32
hard_slow,0.0,5.0,0.5,1.0,88,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9942,0.5938,NaN,1.69,NaN,3.57,3.57,0,33
hard_slow,0.0,5.0,0.5,1.0,89,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9948,0.5959,NaN,1.69,NaN,3.576,3.576,0,34
hard_slow,0.0,5.0,0.5,1.0,90,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9953,0.5979,NaN,1.69,NaN,3.582,3.582,0,35
hard_slow,0.0,5.0,0.5,1.0,91,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9958,0.5999,NaN,1.69,NaN,3.587,3.587,0,36
