N,condition,w_base,w_max,enable_normative,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
50,C_normative_only,5,5,true,25,85,true,32,34,35,36,0.0,0.9976355538146393,47,0.8515642450864671,0.94,85
50,C_normative_only,5,5,true,26,152,true,93,94,96,96,1.0,0.9985282465414973,49,0.7976714931907529,0.98,152
50,C_normative_only,5,5,true,27,81,true,30,30,28,30,1.0,0.9978706712326083,49,0.8518738494659407,0.98,81
50,C_normative_only,5,5,true,28,83,true,31,31,29,31,1.0,0.9981055257293484,50,0.8512078793144824,1.0,83
50,C_normative_only,5,5,true,29,95,true,32,32,46,46,1.0,0.9993151924343309,50,0.841011501962322,1.0,95
50,C_normative_only,5,5,true,30,85,true,32,30,30,32,0.0,0.9983942788203,50,0.8521793300079811,1.0,85
50,D_full_model,2,6,true,1,73,true,20,23,24,24,0.0,0.9978728956803306,50,0.8478649587142619,1.0,73
50,D_full_model,2,6,true,2,68,true,17,17,19,19,0.0,0.9978617734079894,50,0.8475564409548952,1.0,68
50,D_full_model,2,6,true,3,131,true,71,71,81,82,0.0,0.9985296696073048,50,0.7993455659076502,1.0,131
50,D_full_model,2,6,true,4,102,true,36,39,53,53,1.0,0.9993466002403346,50,0.8250892908224592,1.0,102
50,D_full_model,2,6,true,5,74,true,22,22,25,25,0.0,0.9969447029748776,48,0.8492056209360007,0.96,74
50,D_full_model,2,6,true,6,77,true,25,25,24,25,1.0,0.997978266690252,50,0.8500561838114894,1.0,77
50,D_full_model,2,6,true,7,108,true,48,48,59,59,1.0,0.9991494843148263,49,0.8094662902008835,0.98,108
50,D_full_model,2,6,true,8,70,true,21,21,20,21,1.0,0.9975025825213195,49,0.84805818393164,0.98,70
50,D_full_model,2,6,true,9,104,true,38,38,55,55,1.0,0.9995132565028899,49,0.8185251444296183,0.98,104
50,D_full_model,2,6,true,10,90,true,28,28,41,41,0.0,0.9992583220698628,49,0.8562678494766313,0.98,90
50,D_full_model,2,6,true,11,79,true,27,28,30,30,0.0,0.9978958225803818,50,0.8488053795082625,1.0,79
50,D_full_model,2,6,true,12,67,true,17,18,18,18,1.0,0.9970790359247991,50,0.8462900850410545,1.0,67
50,D_full_model,2,6,true,13,103,true,45,45,54,54,1.0,0.9991101778148661,50,0.8252141226967449,1.0,103
50,D_full_model,2,6,true,14,81,true,26,26,31,32,1.0,0.9982708824813084,50,0.8501833002201782,1.0,81
50,D_full_model,2,6,true,15,98,true,31,31,49,49,1.0,0.9993804049950653,49,0.8420479738992049,0.98,98
50,D_full_model,2,6,true,16,78,true,23,24,22,24,0.0,0.9983987773182257,49,0.8517742674533285,0.98,78
50,D_full_model,2,6,true,17,115,true,48,48,66,66,1.0,0.9995930759679567,49,0.7899042904683042,0.98,115
50,D_full_model,2,6,true,18,94,true,26,28,45,45,0.0,0.9995083454613704,50,0.8599459017194866,1.0,94
50,D_full_model,2,6,true,19,68,true,14,15,15,15,0.0,0.9979817138366005,50,0.8483613577827991,1.0,68
50,D_full_model,2,6,true,20,103,true,28,29,54,54,0.0,0.9997076485501981,50,0.8612569608308328,1.0,103
50,D_full_model,2,6,true,21,64,true,15,15,15,15,0.0,0.9974967840853957,50,0.845998660367339,1.0,64
50,D_full_model,2,6,true,22,106,true,46,48,57,57,0.0,0.9986427474601683,50,0.7427340514869978,1.0,106
50,D_full_model,2,6,true,23,77,true,24,24,28,28,0.0,0.9981609429201248,50,0.8495232887081272,1.0,77
50,D_full_model,2,6,true,24,82,true,29,30,33,33,0.0,0.998050140642964,48,0.8410875818817338,0.96,82
50,D_full_model,2,6,true,25,80,true,27,28,31,31,0.0,0.9976201683116801,49,0.8495048533078545,0.98,80
50,D_full_model,2,6,true,26,90,true,33,33,41,41,0.0,0.998839827403864,49,0.8535832575873841,0.98,90
50,D_full_model,2,6,true,27,78,true,25,25,27,29,1.0,0.9977455494140262,49,0.85019147209376,0.98,78
50,D_full_model,2,6,true,28,77,true,26,26,26,26,1.0,0.997792463218212,50,0.8496152736295716,1.0,77
50,D_full_model,2,6,true,29,74,true,25,25,23,25,0.0,0.997284366801005,49,0.8481769758506872,0.98,74
50,D_full_model,2,6,true,30,79,true,26,28,29,30,0.0,0.9977781050380068,48,0.8507179392463041,0.96,79
100,A_baseline,5,5,false,1,0,false,2835,807,0,0,0.91,0.7798455180441839,0,0.0,0.0,3000
100,A_baseline,5,5,false,2,0,false,243,243,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,3,0,false,615,615,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,4,0,false,371,397,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,5,0,false,143,140,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,6,0,false,298,152,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,7,0,false,1079,591,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,8,0,false,231,231,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,9,0,false,821,872,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,10,0,false,308,280,0,0,0.91,0.8282402445593041,0,0.0,0.0,3000
100,A_baseline,5,5,false,11,0,false,246,259,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,12,0,false,549,553,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,13,0,false,1506,1477,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,14,0,false,1756,562,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,15,0,false,2363,2064,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,16,0,false,235,235,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,17,0,false,564,618,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,18,0,false,260,263,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,19,0,false,395,408,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,20,0,false,446,365,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,21,0,false,1256,1839,0,0,0.51,0.2670548379271537,0,0.0,0.0,3000
100,A_baseline,5,5,false,22,0,false,212,214,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,23,0,false,1340,1175,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,24,0,false,714,711,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,25,0,false,842,842,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,26,0,false,257,259,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,27,0,false,742,742,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,28,0,false,572,572,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,29,0,false,273,258,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,A_baseline,5,5,false,30,0,false,447,469,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,1,0,false,116,116,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,2,0,false,106,108,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,3,0,false,112,111,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,4,0,false,61,63,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,5,0,false,64,78,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,6,0,false,100,99,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,7,0,false,60,56,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,8,0,false,82,93,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,9,0,false,65,65,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,10,0,false,137,140,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,11,0,false,79,79,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,12,0,false,89,89,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,13,0,false,69,74,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,14,0,false,61,61,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,15,0,false,71,74,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,16,0,false,191,191,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,17,0,false,162,166,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,18,0,false,129,133,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,19,0,false,156,154,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,20,0,false,96,96,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,21,0,false,70,70,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,22,0,false,54,54,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,23,0,false,83,83,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,24,0,false,76,68,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,25,0,false,132,134,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,26,0,false,128,138,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,27,0,false,76,76,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,28,0,false,99,99,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,29,0,false,67,66,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,30,0,false,90,90,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,C_normative_only,5,5,true,1,77,true,26,28,26,28,0.0,0.9974541155305973,99,0.8489908133652554,0.99,77
100,C_normative_only,5,5,true,2,109,true,47,47,60,60,0.0,0.9991601315570992,99,0.79538958695242,0.99,109
100,C_normative_only,5,5,true,3,106,true,36,36,57,57,1.0,0.9997131531797369,98,0.851157932353922,0.98,106
100,C_normative_only,5,5,true,4,77,true,25,27,26,28,1.0,0.997866041691976,98,0.8505828784948125,0.98,77
100,C_normative_only,5,5,true,5,111,true,54,54,62,62,0.0,0.997183407612099,98,0.7463639459656258,0.98,111
100,C_normative_only,5,5,true,6,109,true,53,56,59,60,0.0,0.9984067019185697,100,0.78237573449405,1.0,109
100,C_normative_only,5,5,true,7,107,true,54,52,58,58,0.0,0.9973511515415234,100,0.747284780121396,1.0,107
100,C_normative_only,5,5,true,8,99,true,39,39,50,50,0.0,0.9992354817901945,97,0.8256596660774007,0.97,99
100,C_normative_only,5,5,true,9,108,true,53,46,59,59,1.0,0.9985184192832274,100,0.7768630095202472,1.0,108
100,C_normative_only,5,5,true,10,87,true,36,36,35,36,0.0,0.9974902335465049,98,0.825082927865056,0.98,87
100,C_normative_only,5,5,true,11,110,true,57,57,61,61,0.0,0.9979635324842877,99,0.7548441972818748,0.99,110
100,C_normative_only,5,5,true,12,95,true,35,35,46,46,1.0,0.9991153816128356,99,0.8415722166114873,0.99,95
100,C_normative_only,5,5,true,13,108,true,46,46,59,59,0.0,0.9993051582903248,98,0.8076788000313475,0.98,108
100,C_normative_only,5,5,true,14,103,true,35,35,54,54,1.0,0.9995769516815598,99,0.854183985590537,0.99,103
100,C_normative_only,5,5,true,15,84,true,32,33,34,35,0.0,0.9973418707457756,100,0.8414617378031088,1.0,84
100,C_normative_only,5,5,true,16,98,true,33,36,49,49,0.0,0.9994203211231436,99,0.8552455531288128,0.99,98
100,C_normative_only,5,5,true,17,110,true,46,48,61,61,0.0,0.9993185593309718,98,0.7925747025310039,0.98,110
100,C_normative_only,5,5,true,18,111,true,42,43,62,62,1.0,0.9996386217573547,97,0.8235663640751436,0.97,111
100,C_normative_only,5,5,true,19,146,true,91,90,97,97,1.0,0.9986166687902543,100,0.7903595052250901,1.0,146
100,C_normative_only,5,5,true,20,110,true,48,48,61,61,0.0,0.9993615884651927,98,0.8038396264302594,0.98,110
100,C_normative_only,5,5,true,21,105,true,42,42,56,56,1.0,0.9994265875740115,97,0.7960197724389362,0.97,105
100,C_normative_only,5,5,true,22,92,true,32,35,43,43,0.0,0.998719996316676,97,0.8180837001433168,0.97,92
100,C_normative_only,5,5,true,23,115,true,64,62,66,66,0.0,0.9984208536303248,99,0.7104553959351515,0.99,115
100,C_normative_only,5,5,true,24,78,true,27,27,24,27,0.0,0.9978250762508111,99,0.8505173202663336,0.99,78
100,C_normative_only,5,5,true,25,105,true,41,41,56,56,1.0,0.9993607925650201,99,0.8467458030455683,0.99,105
100,C_normative_only,5,5,true,26,103,true,47,47,54,54,0.0,0.9988179942589759,98,0.8045077189968198,0.98,103
100,C_normative_only,5,5,true,27,93,true,34,35,44,44,0.0,0.9987624158877577,99,0.8387125060116465,0.99,93
100,C_normative_only,5,5,true,28,105,true,44,45,56,56,0.0,0.9990375516785932,99,0.7877207274331812,0.99,105
100,C_normative_only,5,5,true,29,88,true,34,34,36,37,0.0,0.9975938536609971,98,0.8441082863350359,0.98,88
100,C_normative_only,5,5,true,30,78,true,24,25,23,25,1.0,0.9983463227860185,99,0.852042438983652,0.99,78
100,D_full_model,2,6,true,1,72,true,20,22,21,23,1.0,0.9970881994896037,100,0.8473517612063182,1.0,72
100,D_full_model,2,6,true,2,125,true,72,75,76,76,1.0,0.997953266650384,99,0.784438275415387,0.99,125
100,D_full_model,2,6,true,3,76,true,22,24,27,27,0.0,0.9975386300786196,99,0.848571976428908,0.99,76
100,D_full_model,2,6,true,4,80,true,28,28,31,31,1.0,0.9978948804190463,100,0.8486885415576103,1.0,80
100,D_full_model,2,6,true,5,74,true,23,25,24,25,0.0,0.9972368017029464,100,0.8481142536110489,1.0,74
100,D_full_model,2,6,true,6,111,true,42,42,62,62,0.0,0.9995736860770812,95,0.8297800100472495,0.95,111
100,D_full_model,2,6,true,7,101,true,43,43,52,52,1.0,0.9990657212533874,100,0.8084915509461935,1.0,101
100,D_full_model,2,6,true,8,79,true,27,30,28,30,1.0,0.9975477557727901,98,0.8499641166032368,0.98,79
100,D_full_model,2,6,true,9,97,true,33,33,48,48,1.0,0.9994473668944492,94,0.8609081199165194,0.94,97
100,D_full_model,2,6,true,10,98,true,36,36,49,49,0.0,0.9992890941232419,99,0.8448376624641053,0.99,98
100,D_full_model,2,6,true,11,79,true,25,27,30,30,0.0,0.9978979730306387,99,0.8502647153955865,0.99,79
100,D_full_model,2,6,true,12,74,true,24,24,25,25,1.0,0.9972926488199598,100,0.8484295491469881,1.0,74
100,D_full_model,2,6,true,13,104,true,42,42,55,55,0.0,0.9993988607416218,98,0.8196169133851048,0.98,104
100,D_full_model,2,6,true,14,100,true,33,33,51,51,1.0,0.9996053250377733,96,0.8572512639787698,0.96,100
100,D_full_model,2,6,true,15,116,true,41,43,67,67,0.0,0.9997674381687094,98,0.8104852514436621,0.98,116
100,D_full_model,2,6,true,16,68,true,19,19,18,19,1.0,0.9971236885272381,100,0.8464309702565231,1.0,68
100,D_full_model,2,6,true,17,78,true,27,27,29,29,0.0,0.9977259294595455,100,0.8476833401165937,1.0,78
100,D_full_model,2,6,true,18,77,true,25,25,26,26,1.0,0.9980143164420252,98,0.8498032074663849,0.98,77
100,D_full_model,2,6,true,19,110,true,57,57,61,61,0.0,0.9982161053358086,99,0.708385179200055,0.99,110
100,D_full_model,2,6,true,20,107,true,41,41,58,58,1.0,0.9993306151940403,99,0.8197783029687962,0.99,107
100,D_full_model,2,6,true,21,105,true,44,44,56,56,1.0,0.9992237834014402,97,0.7886414891835422,0.97,105
100,D_full_model,2,6,true,22,72,true,21,21,20,21,0.0,0.9975685739805601,99,0.8492284816603742,0.99,72
100,D_full_model,2,6,true,23,99,true,43,43,50,50,0.0,0.9987259215006836,100,0.8011196936200301,1.0,99
100,D_full_model,2,6,true,24,75,true,24,26,26,26,0.0,0.997113438850305,98,0.8482749628356048,0.98,75
100,D_full_model,2,6,true,25,100,true,34,35,51,51,0.0,0.9995426588713028,96,0.8486653717813105,0.96,100
100,D_full_model,2,6,true,26,73,true,24,24,24,24,1.0,0.9977359347864169,99,0.8484495018448523,0.99,73
100,D_full_model,2,6,true,27,100,true,36,36,51,51,0.0,0.9995442810626781,96,0.8612702424003116,0.96,100
100,D_full_model,2,6,true,28,107,true,53,53,58,58,1.0,0.9983630632917054,100,0.7432235103043818,1.0,107
100,D_full_model,2,6,true,29,107,true,54,54,58,58,0.0,0.9983818608858024,100,0.7179765407836954,1.0,107
100,D_full_model,2,6,true,30,112,true,50,50,63,63,1.0,0.9991049678971315,97,0.7519127884179654,0.97,112
200,A_baseline,5,5,false,1,0,false,2646,2643,0,0,0.0,0.9999999989775236,0,0.0,0.0,3000
200,A_baseline,5,5,false,2,0,false,0,0,0,0,0.575,0.2713799038135852,0,0.0,0.0,3000
200,A_baseline,5,5,false,3,0,false,1928,1903,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,4,0,false,271,271,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,5,0,false,1736,1735,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,6,0,false,0,0,0,0,0.74,0.4534501969082313,0,0.0,0.0,3000
200,A_baseline,5,5,false,7,0,false,2819,2817,0,0,0.995,0.9455767918480853,0,0.0,0.0,3000
200,A_baseline,5,5,false,8,0,false,469,468,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,9,0,false,942,942,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,10,0,false,2365,2352,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,11,0,false,363,327,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,12,0,false,0,0,0,0,0.27,0.4037475789122888,0,0.0,0.0,3000
200,A_baseline,5,5,false,13,0,false,1172,1111,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,14,0,false,526,524,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,15,0,false,0,0,0,0,0.505,0.24101746795765785,0,0.0,0.0,3000
200,A_baseline,5,5,false,16,0,false,1197,1198,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,17,0,false,0,0,0,0,0.285,0.45278091668343395,0,0.0,0.0,3000
200,A_baseline,5,5,false,18,0,false,848,848,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,19,0,false,1271,1285,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,20,0,false,703,702,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,21,0,false,2129,2125,0,0,1.0,0.9999999252849618,0,0.0,0.0,3000
200,A_baseline,5,5,false,22,0,false,2017,2017,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,23,0,false,0,0,0,0,0.72,0.4681662268188706,0,0.0,0.0,3000
200,A_baseline,5,5,false,24,0,false,1326,1281,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,25,0,false,1472,1414,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,A_baseline,5,5,false,26,0,false,0,0,0,0,0.375,0.3481874444012887,0,0.0,0.0,3000
200,A_baseline,5,5,false,27,0,false,0,0,0,0,0.225,0.4926354527349065,0,0.0,0.0,3000
200,A_baseline,5,5,false,28,0,false,2939,2877,0,0,0.02,0.9163646926163805,0,0.0,0.0,3000
200,A_baseline,5,5,false,29,0,false,2490,2508,0,0,0.535,0.2460226058489049,0,0.0,0.0,3000
200,A_baseline,5,5,false,30,0,false,2898,2898,0,0,0.9,0.7336241877219928,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,1,0,false,65,65,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,2,0,false,106,100,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,3,0,false,94,93,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,4,0,false,107,78,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,5,0,false,79,78,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,6,0,false,100,99,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,7,0,false,82,78,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,8,0,false,167,160,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,9,0,false,137,140,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,10,0,false,135,135,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,11,0,false,119,81,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,12,0,false,124,124,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,13,0,false,80,76,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,14,0,false,98,91,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,15,0,false,178,174,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,16,0,false,82,67,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,17,0,false,127,126,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
