N,theta_crystal,trial,converged,convergence_tick,first_tick_behavioral,final_frac_dominant_norm
50,1.0,1,true,83,27,1.0
50,1.0,2,true,85,28,1.0
50,1.0,3,true,111,60,1.0
50,1.0,4,true,88,39,1.0
50,1.0,5,true,117,55,1.0
50,1.0,6,true,81,24,1.0
50,1.0,7,true,101,52,1.0
50,1.0,8,true,78,18,1.0
50,1.0,9,true,153,103,1.0
50,1.0,10,true,126,67,1.0
50,1.0,11,true,81,22,1.0
50,1.0,12,true,109,59,1.0
50,1.0,13,true,81,21,1.0
50,1.0,14,true,83,24,1.0
50,1.0,15,true,120,64,1.0
50,1.0,16,true,99,35,1.0
50,1.0,17,true,129,66,1.0
50,1.0,18,true,85,30,1.0
50,1.0,19,true,88,32,1.0
50,1.0,20,true,122,68,1.0
50,1.0,21,true,93,42,1.0
50,1.0,22,true,109,58,1.0
50,1.0,23,true,94,38,1.0
50,1.0,24,true,110,54,1.0
50,1.0,25,true,90,35,1.0
50,1.0,26,true,82,23,1.0
50,1.0,27,true,80,23,1.0
50,1.0,28,true,82,24,1.0
50,1.0,29,true,93,40,1.0
50,1.0,30,true,84,27,1.0
50,3.0,1,true,95,30,0.96
50,3.0,2,true,81,26,0.98
50,3.0,3,true,67,17,1.0
50,3.0,4,true,68,19,1.0
50,3.0,5,true,73,24,0.98
50,3.0,6,true,74,22,1.0
50,3.0,7,true,75,23,0.96
50,3.0,8,true,108,39,0.96
50,3.0,9,true,67,18,1.0
50,3.0,10,true,77,28,0.98
50,3.0,11,true,84,32,0.98
50,3.0,12,true,82,29,0.96
50,3.0,13,true,81,26,1.0
50,3.0,14,true,73,20,1.0
50,3.0,15,true,69,20,1.0
50,3.0,16,true,78,28,0.98
50,3.0,17,true,73,22,1.0
50,3.0,18,true,80,29,1.0
50,3.0,19,true,81,29,0.96
50,3.0,20,true,94,30,1.0
50,3.0,21,true,92,28,0.98
50,3.0,22,true,73,21,0.98
50,3.0,23,true,70,18,1.0
50,3.0,24,true,97,37,1.0
50,3.0,25,true,79,27,0.98
50,3.0,26,true,72,23,0.96
50,3.0,27,true,101,40,0.96
50,3.0,28,true,83,31,0.96
50,3.0,29,true,73,24,1.0
50,3.0,30,true,107,57,1.0
50,5.0,1,true,76,22,1.0
50,5.0,2,true,78,26,1.0
50,5.0,3,true,82,30,1.0
50,5.0,4,true,129,54,0.94
50,5.0,5,true,79,26,1.0
50,5.0,6,true,82,26,1.0
50,5.0,7,true,81,26,1.0
50,5.0,8,true,80,27,1.0
50,5.0,9,true,107,40,0.94
50,5.0,10,true,93,33,0.96
50,5.0,11,true,104,44,0.94
50,5.0,12,true,79,26,1.0
50,5.0,13,true,94,38,0.96
50,5.0,14,true,80,28,0.98
50,5.0,15,true,81,21,0.98
50,5.0,16,true,95,38,0.98
50,5.0,17,true,82,31,0.98
50,5.0,18,true,104,45,0.94
50,5.0,19,true,82,27,0.94
50,5.0,20,true,91,36,0.98
50,5.0,21,true,72,22,1.0
50,5.0,22,true,79,22,1.0
50,5.0,23,true,76,26,1.0
50,5.0,24,true,113,56,0.96
50,5.0,25,true,98,43,0.96
50,5.0,26,true,89,31,0.96
50,5.0,27,true,82,21,0.94
50,5.0,28,true,76,20,0.98
50,5.0,29,true,76,21,1.0
50,5.0,30,true,96,33,0.96
50,8.0,1,true,176,56,0.9
50,8.0,2,true,103,36,0.92
50,8.0,3,true,95,40,0.98
50,8.0,4,true,900,71,0.92
50,8.0,5,true,97,33,0.94
50,8.0,6,true,526,61,0.9
50,8.0,7,true,369,41,0.94
50,8.0,8,true,530,46,0.92
50,8.0,9,true,93,36,1.0
50,8.0,10,true,90,34,0.96
50,8.0,11,true,1735,36,0.9
50,8.0,12,true,95,41,0.96
50,8.0,13,true,769,42,0.9
50,8.0,14,true,95,31,0.94
50,8.0,15,true,557,48,0.9
50,8.0,16,true,160,40,0.9
50,8.0,17,true,89,30,0.96
50,8.0,18,true,153,78,0.9
50,8.0,19,true,94,29,0.94
50,8.0,20,true,138,34,0.9
50,8.0,21,true,95,38,0.94
50,8.0,22,true,606,76,0.9
50,8.0,23,true,104,37,0.94
50,8.0,24,true,99,42,0.98
50,8.0,25,true,215,44,0.9
50,8.0,26,true,121,32,0.9
50,8.0,27,true,166,58,0.92
50,8.0,28,true,650,41,0.9
50,8.0,29,true,93,31,0.94
50,8.0,30,true,942,55,0.92
50,12.0,1,true,271,52,0.9
50,12.0,2,false,0,46,0.88
50,12.0,3,false,0,45,0.88
50,12.0,4,true,1853,64,0.9
50,12.0,5,false,0,40,0.86
50,12.0,6,true,159,72,0.92
50,12.0,7,true,1254,61,0.9
50,12.0,8,true,1011,50,0.9
50,12.0,9,false,0,64,0.88
50,12.0,10,true,124,50,0.94
50,12.0,11,false,0,56,0.84
50,12.0,12,true,131,56,0.92
50,12.0,13,true,478,38,0.9
50,12.0,14,false,0,52,0.86
50,12.0,15,true,2589,70,0.9
50,12.0,16,true,2833,62,0.9
50,12.0,17,true,702,35,0.9
50,12.0,18,true,122,57,0.9
50,12.0,19,true,2150,48,0.9
50,12.0,20,true,368,24,0.92
50,12.0,21,false,0,24,0.76
50,12.0,22,true,1205,31,0.9
50,12.0,23,true,823,49,0.9
50,12.0,24,true,409,47,0.9
50,12.0,25,true,122,56,0.96
50,12.0,26,true,154,53,0.9
50,12.0,27,true,1323,47,0.9
50,12.0,28,false,0,98,0.88
50,12.0,29,false,0,45,0.88
50,12.0,30,true,202,70,0.9
100,1.0,1,true,89,39,1.0
100,1.0,2,true,109,60,1.0
100,1.0,3,true,96,40,1.0
100,1.0,4,true,119,65,1.0
100,1.0,5,true,85,31,1.0
100,1.0,6,true,98,47,1.0
100,1.0,7,true,94,45,1.0
100,1.0,8,true,88,39,1.0
100,1.0,9,true,87,35,1.0
100,1.0,10,true,82,26,1.0
100,1.0,11,true,88,35,1.0
100,1.0,12,true,86,31,1.0
100,1.0,13,true,88,35,1.0
100,1.0,14,true,84,30,1.0
100,1.0,15,true,82,25,1.0
100,1.0,16,true,117,65,1.0
100,1.0,17,true,127,72,1.0
100,1.0,18,true,87,34,1.0
100,1.0,19,true,102,53,1.0
100,1.0,20,true,90,41,1.0
100,1.0,21,true,89,40,1.0
100,1.0,22,true,85,28,1.0
100,1.0,23,true,85,29,1.0
100,1.0,24,true,85,33,1.0
100,1.0,25,true,98,46,1.0
100,1.0,26,true,92,40,1.0
100,1.0,27,true,107,58,1.0
100,1.0,28,true,101,45,1.0
100,1.0,29,true,91,39,1.0
100,1.0,30,true,84,27,1.0
100,3.0,1,true,85,31,0.98
100,3.0,2,true,101,29,0.99
100,3.0,3,true,105,38,0.95
100,3.0,4,true,115,63,0.98
100,3.0,5,true,74,25,0.97
100,3.0,6,true,122,73,0.99
100,3.0,7,true,74,22,0.99
100,3.0,8,true,81,32,0.98
100,3.0,9,true,76,23,0.97
100,3.0,10,true,110,31,0.99
100,3.0,11,true,102,30,0.97
100,3.0,12,true,98,31,0.97
100,3.0,13,true,74,23,0.97
100,3.0,14,true,99,44,0.98
100,3.0,15,true,99,34,0.99
100,3.0,16,true,108,48,0.99
100,3.0,17,true,66,15,1.0
100,3.0,18,true,67,17,1.0
100,3.0,19,true,89,27,0.99
100,3.0,20,true,74,22,0.99
100,3.0,21,true,99,30,0.98
100,3.0,22,true,94,27,0.98
100,3.0,23,true,114,59,1.0
100,3.0,24,true,100,37,0.98
100,3.0,25,true,103,41,1.0
100,3.0,26,true,98,34,0.96
100,3.0,27,true,74,23,0.98
100,3.0,28,true,102,39,0.99
100,3.0,29,true,98,30,0.96
100,3.0,30,true,100,34,1.0
100,5.0,1,true,143,85,0.97
100,5.0,2,true,91,34,0.98
100,5.0,3,true,89,31,0.98
100,5.0,4,true,95,38,0.93
100,5.0,5,true,91,32,0.96
100,5.0,6,true,99,38,0.95
100,5.0,7,true,83,30,1.0
100,5.0,8,true,79,24,0.99
100,5.0,9,true,107,46,0.91
100,5.0,10,true,88,33,0.97
100,5.0,11,true,85,28,1.0
100,5.0,12,true,91,35,0.96
100,5.0,13,true,108,40,0.95
100,5.0,14,true,90,35,0.98
100,5.0,15,true,88,32,0.97
100,5.0,16,true,88,33,0.96
100,5.0,17,true,83,29,1.0
100,5.0,18,true,94,34,0.94
100,5.0,19,true,104,49,0.98
100,5.0,20,true,97,42,0.96
100,5.0,21,true,99,38,0.98
100,5.0,22,true,92,34,0.98
100,5.0,23,true,112,47,0.93
100,5.0,24,true,97,37,0.95
100,5.0,25,true,118,48,0.95
100,5.0,26,true,147,54,0.93
100,5.0,27,true,116,50,0.94
100,5.0,28,true,90,30,0.98
100,5.0,29,true,78,26,1.0
100,5.0,30,true,89,36,0.96
100,8.0,1,true,155,48,0.9
100,8.0,2,true,98,35,0.96
100,8.0,3,true,98,35,0.94
100,8.0,4,true,120,51,0.97
100,8.0,5,true,100,34,0.95
100,8.0,6,true,339,58,0.91
100,8.0,7,true,138,57,0.92
100,8.0,8,true,89,34,0.97
100,8.0,9,true,1397,72,0.9
100,8.0,10,true,1450,63,0.9
100,8.0,11,true,107,39,0.91
100,8.0,12,true,607,59,0.91
100,8.0,13,true,232,66,0.91
100,8.0,14,true,210,52,0.91
100,8.0,15,true,103,40,0.95
100,8.0,16,true,104,37,0.94
100,8.0,17,true,97,33,0.96
100,8.0,18,true,103,41,0.95
100,8.0,19,true,1102,50,0.91
100,8.0,20,true,108,40,0.97
100,8.0,21,true,103,39,0.96
100,8.0,22,true,284,51,0.92
100,8.0,23,true,673,62,0.9
100,8.0,24,true,135,54,0.92
100,8.0,25,true,590,58,0.9
100,8.0,26,true,125,38,0.91
100,8.0,27,true,105,40,0.93
100,8.0,28,true,95,39,0.97
100,8.0,29,true,810,48,0.91
100,8.0,30,true,108,43,0.95
100,12.0,1,false,0,98,0.8
100,12.0,2,true,207,61,0.91
100,12.0,3,false,0,70,0.81
100,12.0,4,false,0,52,0.87
100,12.0,5,true,980,48,0.9
100,12.0,6,false,0,61,0.87
100,12.0,7,true,846,59,0.9
100,12.0,8,false,0,54,0.86
100,12.0,9,true,130,64,0.93
100,12.0,10,true,403,46,0.9
100,12.0,11,false,0,58,0.89
100,12.0,12,true,1404,81,0.9
100,12.0,13,true,964,62,0.9
100,12.0,14,true,1200,67,0.9
100,12.0,15,true,140,52,0.95
100,12.0,16,true,136,57,0.92
100,12.0,17,true,543,54,0.9
100,12.0,18,false,0,101,0.89
100,12.0,19,true,158,58,0.91
100,12.0,20,true,777,56,0.91
100,12.0,21,true,2774,67,0.9
100,12.0,22,true,1452,54,0.9
100,12.0,23,true,890,53,0.9
100,12.0,24,true,1880,68,0.91
100,12.0,25,true,112,48,0.95
100,12.0,26,true,202,52,0.9
100,12.0,27,false,0,70,0.84
100,12.0,28,true,2776,68,0.9
100,12.0,29,false,0,124,0.81
100,12.0,30,false,0,58,0.85
200,1.0,1,true,110,61,1.0
200,1.0,2,true,115,63,1.0
200,1.0,3,true,130,75,1.0
200,1.0,4,true,89,37,1.0
200,1.0,5,true,85,32,1.0
200,1.0,6,true,122,65,1.0
200,1.0,7,true,85,34,1.0
200,1.0,8,true,105,53,1.0
200,1.0,9,true,87,34,1.0
200,1.0,10,true,84,28,1.0
200,1.0,11,true,134,80,1.0
200,1.0,12,true,85,29,1.0
200,1.0,13,true,86,32,1.0
200,1.0,14,true,109,60,1.0
200,1.0,15,true,135,86,1.0
200,1.0,16,true,124,72,1.0
200,1.0,17,true,95,46,1.0
200,1.0,18,true,106,54,1.0
200,1.0,19,true,105,56,1.0
200,1.0,20,true,156,107,1.0
200,1.0,21,true,94,45,1.0
200,1.0,22,true,91,37,1.0
200,1.0,23,true,101,52,1.0
200,1.0,24,true,104,53,1.0
200,1.0,25,true,110,61,1.0
200,1.0,26,true,87,37,1.0
200,1.0,27,true,130,79,1.0
200,1.0,28,true,95,46,1.0
200,1.0,29,true,90,41,1.0
200,1.0,30,true,89,39,1.0
200,3.0,1,true,92,31,0.975
200,3.0,2,true,82,31,0.99
200,3.0,3,true,107,37,0.96
200,3.0,4,true,131,79,0.995
200,3.0,5,true,103,36,0.98
200,3.0,6,true,111,44,0.98
200,3.0,7,true,99,40,0.97
200,3.0,8,true,95,32,0.96
200,3.0,9,true,90,31,0.975
200,3.0,10,true,109,42,0.96
200,3.0,11,true,82,29,0.98
200,3.0,12,true,103,34,0.98
200,3.0,13,true,97,31,0.99
200,3.0,14,true,77,26,0.98
200,3.0,15,true,105,40,0.98
200,3.0,16,true,109,55,0.985
200,3.0,17,true,76,25,0.98
200,3.0,18,true,74,24,0.985
200,3.0,19,true,104,37,0.98
200,3.0,20,true,102,38,0.98
200,3.0,21,true,93,30,0.97
200,3.0,22,true,98,34,0.985
200,3.0,23,true,109,45,0.985
200,3.0,24,true,79,28,0.985
200,3.0,25,true,101,37,0.985
200,3.0,26,true,79,26,0.98
200,3.0,27,true,74,24,0.98
200,3.0,28,true,105,36,0.965
200,3.0,29,true,81,31,0.99
200,3.0,30,true,107,47,0.97
200,5.0,1,true,78,27,1.0
200,5.0,2,true,87,32,0.985
200,5.0,3,true,117,43,0.92
200,5.0,4,true,92,38,0.965
200,5.0,5,true,93,36,0.94
200,5.0,6,true,97,39,0.945
200,5.0,7,true,94,37,0.96
200,5.0,8,true,117,46,0.915
200,5.0,9,true,92,35,0.955
200,5.0,10,true,103,43,0.95
200,5.0,11,true,89,33,0.97
200,5.0,12,true,105,45,0.95
200,5.0,13,true,98,35,0.945
200,5.0,14,true,99,39,0.94
200,5.0,15,true,86,32,0.98
200,5.0,16,true,100,41,0.975
200,5.0,17,true,87,33,0.97
200,5.0,18,true,84,32,0.985
200,5.0,19,true,92,35,0.97
200,5.0,20,true,131,47,0.92
200,5.0,21,true,153,56,0.915
200,5.0,22,true,93,32,0.975
200,5.0,23,true,91,31,0.965
200,5.0,24,true,117,50,0.945
200,5.0,25,true,121,46,0.915
200,5.0,26,true,95,39,0.97
200,5.0,27,true,80,27,0.995
200,5.0,28,true,94,35,0.96
200,5.0,29,true,104,43,0.95
200,5.0,30,true,89,32,0.97
200,8.0,1,true,110,42,0.935
200,8.0,2,true,99,37,0.95
200,8.0,3,true,142,53,0.91
200,8.0,4,true,175,49,0.92
200,8.0,5,true,111,40,0.935
200,8.0,6,true,509,58,0.9
200,8.0,7,true,122,38,0.925
200,8.0,8,true,1039,75,0.905
200,8.0,9,true,446,53,0.9
200,8.0,10,true,115,49,0.93
200,8.0,11,true,100,38,0.96
200,8.0,12,true,96,37,0.97
200,8.0,13,true,92,36,0.96
200,8.0,14,true,264,52,0.9
200,8.0,15,true,364,77,0.905
200,8.0,16,true,140,58,0.92
200,8.0,17,true,137,51,0.915
200,8.0,18,true,973,69,0.905
200,8.0,19,true,108,43,0.94
200,8.0,20,true,123,43,0.935
200,8.0,21,true,575,55,0.905
200,8.0,22,true,144,47,0.925
200,8.0,23,true,122,52,0.94
200,8.0,24,true,94,36,0.96
200,8.0,25,true,534,107,0.91
200,8.0,26,true,733,57,0.905
200,8.0,27,true,110,45,0.94
200,8.0,28,true,500,55,0.91
200,8.0,29,true,810,49,0.9
200,8.0,30,true,570,56,0.9
200,12.0,1,false,0,69,0.905
200,12.0,2,true,1599,60,0.9
200,12.0,3,false,0,84,0.87
200,12.0,4,true,284,53,0.905
200,12.0,5,false,0,87,0.86
200,12.0,6,true,1916,64,0.9
200,12.0,7,false,0,108,0.75
200,12.0,8,false,0,87,0.885
200,12.0,9,false,0,89,0.855
200,12.0,10,false,0,85,0.885
200,12.0,11,true,1898,83,0.9
200,12.0,12,true,601,57,0.905
200,12.0,13,false,0,83,0.86
200,12.0,14,false,0,71,0.85
200,12.0,15,true,1265,60,0.9
200,12.0,16,false,0,90,0.875
200,12.0,17,true,1037,63,0.9
200,12.0,18,false,0,125,0.81
200,12.0,19,true,153,51,0.91
200,12.0,20,true,203,49,0.9
200,12.0,21,false,0,91,0.86
200,12.0,22,true,851,56,0.9
200,12.0,23,true,603,69,0.905
200,12.0,24,true,414,57,0.905
200,12.0,25,true,500,61,0.905
200,12.0,26,true,152,57,0.91
200,12.0,27,true,1589,73,0.9
200,12.0,28,false,0,67,0.89
200,12.0,29,false,0,88,0.865
200,12.0,30,true,1727,56,0.9
500,1.0,1,true,85,31,1.0
500,1.0,2,true,104,55,1.0
500,1.0,3,true,96,47,1.0
500,1.0,4,true,105,56,1.0
500,1.0,5,true,98,47,1.0
500,1.0,6,true,106,55,1.0
500,1.0,7,true,110,59,1.0
500,1.0,8,true,102,53,1.0
500,1.0,9,true,89,40,1.0
500,1.0,10,true,96,44,1.0
500,1.0,11,true,86,36,1.0
500,1.0,12,true,97,48,1.0
500,1.0,13,true,119,67,1.0
500,1.0,14,true,91,42,1.0
500,1.0,15,true,107,55,1.0
500,1.0,16,true,120,64,1.0
500,1.0,17,true,110,61,1.0
500,1.0,18,true,100,51,1.0
500,1.0,19,true,124,71,1.0
500,1.0,20,true,129,78,1.0
500,1.0,21,true,86,33,1.0
500,1.0,22,true,129,77,1.0
500,1.0,23,true,99,48,1.0
500,1.0,24,true,103,54,1.0
500,1.0,25,true,120,65,1.0
500,1.0,26,true,94,45,1.0
500,1.0,27,true,109,58,1.0
500,1.0,28,true,105,56,1.0
500,1.0,29,true,87,35,1.0
500,1.0,30,true,98,47,1.0
500,3.0,1,true,97,31,0.978
500,3.0,2,true,100,34,0.976
500,3.0,3,true,103,37,0.97
500,3.0,4,true,102,36,0.98
500,3.0,5,true,78,28,0.986
500,3.0,6,true,99,35,0.982
500,3.0,7,true,104,41,0.982
500,3.0,8,true,108,55,0.99
500,3.0,9,true,95,34,0.972
500,3.0,10,true,101,35,0.984
500,3.0,11,true,108,45,0.988
500,3.0,12,true,102,42,0.99
500,3.0,13,true,116,61,0.994
500,3.0,14,true,99,34,0.974
500,3.0,15,true,106,44,0.984
500,3.0,16,true,103,37,0.982
500,3.0,17,true,102,35,0.974
500,3.0,18,true,104,40,0.992
500,3.0,19,true,107,48,0.99
500,3.0,20,true,96,35,0.994
500,3.0,21,true,91,30,0.988
500,3.0,22,true,107,48,0.99
500,3.0,23,true,149,93,0.992
500,3.0,24,true,109,49,0.982
500,3.0,25,true,110,55,0.994
500,3.0,26,true,110,53,0.994
500,3.0,27,true,123,72,0.994
500,3.0,28,true,100,37,0.976
500,3.0,29,true,107,46,0.978
500,3.0,30,true,107,52,0.99
500,5.0,1,true,118,53,0.942
500,5.0,2,true,101,43,0.956
500,5.0,3,true,95,37,0.95
500,5.0,4,true,92,35,0.974
500,5.0,5,true,95,37,0.964
500,5.0,6,true,101,45,0.956
500,5.0,7,true,121,51,0.928
500,5.0,8,true,126,61,0.928
500,5.0,9,true,100,41,0.95
500,5.0,10,true,100,43,0.948
500,5.0,11,true,116,55,0.944
500,5.0,12,true,95,38,0.942
500,5.0,13,true,123,54,0.94
500,5.0,14,true,120,53,0.944
500,5.0,15,true,108,44,0.934
500,5.0,16,true,112,41,0.926
500,5.0,17,true,100,43,0.952
500,5.0,18,true,126,49,0.924
500,5.0,19,true,110,49,0.952
500,5.0,20,true,126,57,0.938
500,5.0,21,true,105,43,0.938
500,5.0,22,true,129,57,0.93
500,5.0,23,true,128,55,0.934
500,5.0,24,true,118,52,0.932
500,5.0,25,true,85,31,0.992
500,5.0,26,true,108,43,0.952
500,5.0,27,true,136,67,0.934
500,5.0,28,true,139,80,0.958
500,5.0,29,true,147,89,0.954
500,5.0,30,true,111,43,0.948
500,8.0,1,true,1024,75,0.9
500,8.0,2,true,431,71,0.906
500,8.0,3,true,190,55,0.914
500,8.0,4,true,748,60,0.9
500,8.0,5,true,315,61,0.906
500,8.0,6,true,137,45,0.916
500,8.0,7,true,693,56,0.9
500,8.0,8,true,179,48,0.908
500,8.0,9,true,785,64,0.902
500,8.0,10,true,429,60,0.902
500,8.0,11,true,673,58,0.906
500,8.0,12,true,105,40,0.95
500,8.0,13,true,440,56,0.904
500,8.0,14,true,676,63,0.902
500,8.0,15,true,150,49,0.908
500,8.0,16,true,1653,64,0.9
500,8.0,17,true,337,51,0.904
500,8.0,18,true,1304,80,0.904
500,8.0,19,true,139,43,0.908
500,8.0,20,true,425,101,0.902
500,8.0,21,true,307,66,0.904
500,8.0,22,true,117,47,0.944
500,8.0,23,true,124,44,0.924
500,8.0,24,true,120,51,0.93
500,8.0,25,true,717,57,0.902
500,8.0,26,true,242,47,0.906
500,8.0,27,true,1068,55,0.902
500,8.0,28,true,581,63,0.904
500,8.0,29,true,868,53,0.906
500,8.0,30,true,650,49,0.902
500,12.0,1,false,0,100,0.858
500,12.0,2,true,1852,59,0.9
500,12.0,3,false,0,77,0.876
500,12.0,4,true,2232,69,0.9
500,12.0,5,true,2457,69,0.9
500,12.0,6,false,0,142,0.852
500,12.0,7,true,1540,63,0.9
500,12.0,8,false,0,71,0.88
500,12.0,9,false,0,72,0.87
500,12.0,10,true,1393,58,0.902
500,12.0,11,true,1092,62,0.9
500,12.0,12,false,0,86,0.81
500,12.0,13,false,0,104,0.844
500,12.0,14,true,869,56,0.9
500,12.0,15,false,0,83,0.834
500,12.0,16,true,341,61,0.906
500,12.0,17,false,0,83,0.876
500,12.0,18,false,0,85,0.842
500,12.0,19,false,0,82,0.838
500,12.0,20,true,2600,75,0.9
500,12.0,21,false,0,72,0.902
500,12.0,22,true,943,60,0.902
500,12.0,23,false,0,71,0.884
500,12.0,24,false,0,76,0.878
500,12.0,25,true,1052,63,0.902
500,12.0,26,false,0,98,0.826
500,12.0,27,false,0,84,0.848
500,12.0,28,true,1581,53,0.904
500,12.0,29,true,1265,69,0.9
500,12.0,30,false,0,61,0.896
